hotel_id,hotel_name,total_rooms,company_name,hotel_price,city,address,map_link,company_id
61,Saphia Hotel Nha Trang,72,Saphia Hotel Nha Trang,700000,Nha Trang," 90-92 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/PtkZ2ajb31pnunhj7,58
62,Meliá Đà Nẵng Beach Resort,264,CÔNG TY TNHH SAO VIỆT NON NƯỚC,3200000,Đà Nẵng,"19 Trường Sa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/AYnXbAsbNj2mRL9b7,59
63,Asteria Comodo Nha Trang Hotel,241,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ DỊCH VỤ KHÁCH SẠN THÁI BÌNH DƯƠNG,1300000,Nha Trang,"86A Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/rnaaAkTK5BWMYQXe8,60
64,Venue Hotel Nha Trang,64,Venue Hotel Nha Trang,800000,Nha Trang,"24 Tôn Đản, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa ",https://maps.app.goo.gl/FByQs6pGnxSP9byW7,61
65,Lavencos Hotel Đà Nẵng,71,Khách sạn Lavencos,1000000,Bà Rịa - Vũng Tàu,"360 - 362 Võ Nguyên Giáp, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/NMf9vXGvoLN5o9Y38,62
66,Starcity Hotel & Condotel Beachfront Nha Trang,203,CÔNG TY TNHH MTV SAO HÔM NHA TRANG,1600000,Nha Trang,"72 - 74 Đường Trần Phú, Phường Lộc Thọ, Thành Phố Nha Trang, Tỉnh Khánh Hòa",https://maps.app.goo.gl/h4w9vpYnqj9LVfhq7,63
67,M Hotel Đà Nẵng,195,M Group Đà Nẵng,2700000,Đà Nẵng,"286 Võ Nguyên Giáp, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/FreNdhUfSprfD35A9,64
68,Prime New Hotel Nha Trang,73,CÔNG TY TNHH ATD –KHÁCH SẠN PRIME NHA TRANG,700000,Nha Trang,"22 Tôn Đản, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/wTPjCVz1skHhALq49,65
69,Lotte Hà Nội,318,LOTTE HOTEL VIETNAM,3500000,Hà Nội,"Số 54 Liễu Giai, P. Cống Vị. Ba Đình, Hà Nội",https://maps.app.goo.gl/ZLqV6sHknyyzSLof9,66
70, Silk Queen  Hotel Hà Nội,60,CÔNG TY TNHH ĐỨC ĐỊNH,1700000,Hà Nội,"Số 100 Hàng Gai, Phường Hàng Gai, Quận Hoàn Kiếm, TP. Hà Nội,",https://maps.app.goo.gl/kMShZr9SNZfoCFBN8,67
71,Melia Vinpearl Đà Nẵng Riverfront,864,Melia Vinpearl Hotels & Resort ,2100000,Đà Nẵng,"341 Đ. Trần Hưng Đạo, An Hải Bắc, Sơn Trà, Đà Nẵng",https://maps.app.goo.gl/xJf1hxdwY9oSsYbS7,68
72,HAIAN Riverfront Đà Nẵng,85,Khách sạn HAIAN Riverfront Đà Nẵng,1400000,Đà Nẵng,"182 Bạch Đằng, Street, Hải Châu, Đà Nẵng",https://maps.app.goo.gl/RnFmneNkJgFXGyDY6,69
73,Nha Trang Marriott Resort & Spa,829,Marriott International,2700000,Nha Trang,"Đảo Hòn Tre, Phường Vĩnh Nguyên, Thành phố Nha Trang, Khánh Hòa ",https://maps.app.goo.gl/23fXEH5gCE2iYjK16,70
74,Melia Vinpearl Nha Trang Empire,1221,Melia Hotels Internationl & Vinpearl,2000000,Nha Trang,"44 - 46 Lê Thánh Tôn, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/6ZcGZtvVaqnem8d37,71
75,Minawa Kenhga Resort & Spa Ninh Binh,126,CÔNG TY CỔ PHẦN BÁN ĐẢO KÊNH GÀ,3000000,Ninh Bình,"Thôn Kênh Gà, Gia Thịnh, Gia Viễn, Ninh Bình",https://maps.app.goo.gl/6qrFq8dqALJtBNag7,72
76,Tam Coc Lion Kings Hotel & Resort Ninh Bình,26,CÔNG TY TNHH TIẾN HUYỀN,1150000,Ninh Bình,"Thôn Đam Khê Trong, Hoa Lư, Ninh Bình",https://maps.app.goo.gl/VvTn66nZZLwsNJKx9,73
77,Hidden Charm Hotel & Resort Ninh Bình,98,CÔNG TY TNHH THÊU REN MẶT TRỜI XANH,1800000,Ninh Bình,"Số 9, Khu du lịch Tam Cốc – Bích Động, Ninh Thắng, Hoa Lư, Ninh Bình",https://maps.app.goo.gl/uxZkFM5142jG3ryw9,74
78,Melissa Nha Trang Hotel,83,Melissa Nha Trang Hotel,1000000,Nha Trang,"100A2-100A3 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",https://maps.app.goo.gl/Zb1YZ9wcwbXdy6Ka8,75
79,Masova Hotel Nha Trang,80,Masova Hotel Nha Trang,1000000,Nha Trang,"100A8 - 100A9 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa ",https://maps.app.goo.gl/BgSqMEN7jaHwshMt9,76
