room_id,img_url
32,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Executive Suite có ban công riêng/3jo5k8vvjlzj6eme.webp
32,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Executive Suite có ban công riêng/d2jwv36peb1xg5uq.webp
32,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Executive Suite có ban công riêng/0bpjyrqfchwgufjp.webp
32,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng Executive Suite có ban công riêng/8gvl0vykjb2mxocq.webp
33,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng President Suite có ban công riêng/2ang4ckdb63kkxox.webp
33,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng President Suite có ban công riêng/kwuigrbh8kjhmfpq.webp
33,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng President Suite có ban công riêng/zx7adgmj345jjjli.webp
33,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/Phòng President Suite có ban công riêng/o9ukmlqu7hb2katp.webp
34,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite có ban công   /vnjip0hzvmenfji0.webp
34,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite có ban công   /skm5vpr4pwb0mefl.webp
34,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite có ban công   /ev4nfqh7dxsy0aos.webp
34,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite có ban công   /8h63pb157jzqn2mf.webp
34,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite có ban công   /eg0nlnvjt42dx2s9.webp
34,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite có ban công   /w9kiyb4afgylni9b.webp
35,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Panorama Suite có ban công /96ar7px2lpdakxhu.webp
35,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Panorama Suite có ban công /pvavl92wyml034pf.webp
35,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Panorama Suite có ban công /8q0b37s1zpmhyis7.webp
35,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Panorama Suite có ban công /zfz7u1slhgz1unra.webp
35,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Panorama Suite có ban công /jwjsmzl60zon9you.webp
35,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Panorama Suite có ban công /4x5istbqp0euphnp.webp
35,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Panorama Suite có ban công /iwc7upv133uyrp7m.webp
35,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Panorama Suite có ban công /1jty00p15ts4vcfd.webp
36,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite Gia đình tầng 1/ebcgj8cpjx6c9n8p.webp
36,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite Gia đình tầng 1/c571xorvihq3mc8t.webp
36,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite Gia đình tầng 1/8vx2yf5oevhhtpz9.webp
36,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite Gia đình tầng 1/7dakndf2est5kdll.webp
36,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite Gia đình tầng 1/b1cv4mbfirkvn1s7.webp
37,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite Gia đình tầng 2/zu1f1v9t0t40qiv1.webp
37,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite Gia đình tầng 2/6dgygfvvybk527qv.webp
37,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite Gia đình tầng 2/d8yf4h7kjd1vzvuq.webp
37,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite Gia đình tầng 2/d0eo8jrsaogp5cds.webp
37,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/Phòng Suite Gia đình tầng 2/susdox5je2mzboca.webp
38,https://minio.fares.vn/mixivivu-dev/tour/orchid-premium-cruises-ha-long-bay/Phòng Terrace Suite/nrvm35jp3ymh7cb4.webp
