ship_id,ship_name,launch,cabin,shell,trip,company_name,ship_price,address,map_link,company_id
11,Du thuyền Paradise Grand,2019,39,Kim loại,Vịnh Lan Hạ - Khu vực Ao Ếch- Hang Sáng Tối,Tập đoàn Paradise,4150000,"Cảng Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/uex5xoocdJkSuPzt6,223
12,Du thuyền Genesis Regal,2019,20,Kim loại,Vịnh Lan Hạ - Hang Sáng Tối,Công ty cổ phần du thuyền Genesis Việt Nam,4150000,"Cảng Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/SbE7JQm2LBYejFcZ7,224
13,Du thuyền Ambassador Hạ Long,2018,46,Kim loại,Vịnh Hạ Long – Hang Sửng Sốt - Hồ Động Tiên - Đảo Titop,Công ty cổ phần thương mại và dịch vụ Sư Tư châu Á,3850000,"Cảng tàu khách quốc tế Hạ Long , Hạ Long, Quảng Ninh",https://maps.app.goo.gl/zHQnpFCrU5juoVcH8,225
14,Du thuyền Mila,2014,22,Kim loại,Vịnh Hạ Long – Khu vực Tùng Sâu - Đảo Titop - Hang Sửng Sốt,CÔNG TY CỔ PHẦN DU THUYỀNHERMES,2800000,"Bến Tuần Châu Hạ Long, Quảng Ninh, Việt Nam",https://goo.gl/maps/6mQDuQWa4Ybq6K5p8,226
15,Du Thuyền Stellar of the Seas,2018,22,Kim loại,Vịnh Lan Hạ- Hang Sáng Tối,Công ty du thuyền Aclass,5900000,"Bến Tuần Châu, Hạ Long, Quảng Ninh, Việt Nam",https://maps.app.goo.gl/SbE7JQm2LBYejFcZ7,227
16,Du thuyền Renea Hạ Long,2018,11,Gỗ,Vịnh Bái Tử Long – Khu vực đảo Cặp La – Hang Thiên Cảnh Sơn,Công ty cổ phần đầu tư du lịch Renea,3000000,"Bến cảng Hòn Gai, Hạ Long, Quảng Ninh, Việt Nam",https://goo.gl/maps/6mQDuQWa4Ybq6K5p8,228
17,Du thuyền Elite of the Seas,2022,35,Kim loại,Vịnh Lan Hạ - Khu vực Ao Ếch - Hang Sáng Tối - Làng chài Việt Hải,Công ty du thuyền Aclass,6725000,Cảng du thuyền quốc tế Tuần Châu,https://maps.app.goo.gl/SbE7JQm2LBYejFcZ7,227
18,Du thuyền Capella,2020,30,Kim loại,Vịnh Lan Hạ – Ao Ếch – Hang Sáng,Công ty Cổ phần đầu tư Việt Star Cruise,4450000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/k9qsvwp932Vm4MuA7,229
19,Du thuyền Orchid Hạ Long,2016,14,Kim loại,Vịnh Lan Hạ - Đảo Cát Bà – Khu vực Trà Báu – Làng Việt Hải – Bãi tắm Ba Trái Đào – Ao Ếch,Tập đoàn Pelican,4600000,"Cảng tàu khách quốc tế Tuần Châu,Hạ Long,QN",https://maps.app.goo.gl/EgpzV41kGUdtG2Xr6,230
20,Du thuyền Scarlet Pearl,2019,22,Kim loại,Vịnh Lan Hạ - Làng Việt Hải – Hang Sáng Tối,Công ty TNHH Scarlet Pearl Hạ Long,3750000,"Cảng tàu khách quốc tế Hạ Long,Hạ Long,Quảng Ninh",https://maps.app.goo.gl/ksDmAjyqbFzWdZaD8,231
