room_id,ship_id,room_name,size,max_persons,room_price,room_features
3,19,Phòng Exclusive có ban công riêng,45,2,7000000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Két an toàn, Ban công riêng"
4,19,Phòng Family Suite có ban công riêng,72,4,5625000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,20,Phòng Silver Pearl có ban công riêng,28,2,3750000,"Nhìn ra biển, Điều hòa, Ban công riêng, Wi-Fi"
2,20,Phòng Golden Pearl có ban công riêng,40,2,5170000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,20,Phòng Onyx Pearl có ban công riêng,60,2,6330000,"Nhìn ra biển, Điều hòa, Ban công riêng, Wi-Fi"
4,20,Phòng Scarlet Pearl hạng tổng thống,150,2,9350000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
1,21,Phòng Prince & Princess Suite,28,2,4850000,"Wi-Fi, Nhìn ra biển, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
2,21,Phòng Queen Suite,28,2,5450000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
3,21,Phòng King Suite,30,2,6950000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,22,Phòng Deluxe có ban công riêng,25,2,3050000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
2,22,Phòng Deluxe Gia đình có ban công riêng,50,4,3050000,"Nhìn ra biển, Wi-Fi, Ban công riêng, Điều hòa"
3,22,Phòng Premium có ban công riêng,25,2,3350000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
4,22,Phòng Premium Gia đình có ban công riêng,50,4,3350000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
5,22,Phòng Exclusive có ban công riêng,45,2,5850000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,23,Phòng Deluxe có ban công riêng,25,2,3150000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,23,Phòng Executive có ban công riêng,25,2,3400000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,23,Phòng Terrace Suite có ban công riêng,40,2,4450000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,24,Phòng Ocean Suite có ban công riêng ,35,2,3300000,"Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn, Nhìn ra biển, Wi-Fi"
2,24,Phòng Elegance Suite có ban công riêng,40,2,3600000,"Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn, Nhìn ra biển, Wi-Fi"
3,24,Phòng Mon Cheri Suite có sân hiên ,50,2,5500000,"Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn, Nhìn ra biển, Wi-Fi"
4,24,Phòng President có sân hiên,70,2,7000000,"Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn, Nhìn ra biển, Wi-Fi"
